what,kind,bundleId,bundleVersion,description,time
processors,sysinfo,,,"2",1350743361359
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1350743361359
java.runtime.version,sysinfo,,,"1.6.0_24-b24",1350743361359
java.specification.name,sysinfo,,,"Java Platform API Specification",1350743361359
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1350743361359
java.specification.version,sysinfo,,,"1.6",1350743361359
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1350743361359
java.version,sysinfo,,,"1.6.0_24",1350743361359
java.vm.info,sysinfo,,,"mixed mode",1350743361359
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1350743361359
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1350743361359
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1350743361359
java.vm.specification.version,sysinfo,,,"1.0",1350743361359
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1350743361359
java.vm.version,sysinfo,,,"20.0-b12",1350743361359
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1350743361416
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1350743362352
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1350743362513
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1350743362862
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1350743363088
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1350743363527
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1350743363572
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1350743364373
started,bundle,net.cellobject.sqlitexmlbrowser,1.2,"net.cellobject.sqlitexmlbrowser",1350743364762
started,bundle,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms",1350743366429
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350743367627
started,bundle,com.android.ide.eclipse.traceview,20.0.3.v201208082019-427395,"com.android.ide.eclipse.traceview",1350743370187
